Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/25/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,5580.440496,6625.401091,8115.968054,9545.677652,10393.94225,11491.17673,12187.21055,13263.21301,14798.01573,15091.06601,15252.94933,16322.25793,17481.036,17328.27641,18607.65953,18360.35302,17480.40968,18953.17109,20520.41189,17072.7929,21586.09145,20197.77526,23908.18865,21764.23667,20003.1194,20090.35147,21165.6366,22168.22417,23163.63776,24192.6166,24118.0318,24565.93464,24994.14735,,,,
Africa Eastern and Southern,AFE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,497.0657463,453.533015,476.9345388,431.5955591,346.0112601,371.7048807,444.6136528,468.4849686,477.2948005,512.6664452,532.8340737,536.7877281,555.5263648,551.1565031,609.1592685,598.169342,617.92965,566.9077352,548.108987,575.4762381,498.7298349,491.3878896,645.167649,781.9669443,877.4196671,936.6859108,1000.868727,977.7022409,1061.357502,1213.177168,1317.667335,1308.603613,1296.804936,1310.864153,1228.10281,1152.953839,1259.544613,1264.541984,1234.247468,1097.744851,,
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,154.2845582,157.6508704,134.3790435,141.6648234,171.3823801,182.4569198,192.4662736,218.0108068,238.9081011,265.5433573,270.2321267,290.5295595,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.5375095,513.7921449,556.1638411,598.2152448,586.6136889,575.6807964,526.9302355,489.0097404,494.9349203,458.3445658,467.1869473,475.0847373,,
Africa Western and Central,AFW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,192.3490225,135.6579861,160.9848483,191.5419683,241.2848078,288.9436354,347.8404637,347.5161389,376.7231647,391.11625,510.3155221,1097.211748,961.5052631,679.514232,533.0050419,523.6212534,486.3990944,470.7059694,465.6948056,388.8756278,441.0291983,436.235306,422.2591659,336.3435078,287.835678,352.7251088,377.4069407,378.2083343,394.0139463,409.1296061,365.7631098,401.4378233,477.2544315,528.7533733,621.6114673,720.3446107,949.2211885,1075.863557,1260.100451,1151.070433,1252.503773,1335.418607,1446.847952,1632.178624,1718.121017,1564.745629,1389.653342,1303.571811,1347.982442,1418.794409,1384.662115,,
Angola,AGO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,534.7124626,551.1973893,469.9496118,447.1396844,650.9921088,553.7623553,,,,-7.149306968,183.4490404,182.4171388,259.9788806,268.0747752,162.9960392,208.2162622,266.611472,567.2710087,671.2052447,693.4479509,948.5198337,1291.374119,1435.296003,1366.469536,1822.49203,1819.190185,2379.084597,2835.320063,3158.544114,3583.800549,3199.012702,2688.630467,2936.850718,2051.814728,1738.059253,1103.908798,,
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,461.4375343,458.3217579,548.187783,514.3330393,499.7215766,525.3919049,471.9799969,247.392276,135.4525547,315.4367201,507.7965194,667.1105099,912.5496484,640.8208692,747.5134191,947.5044926,1037.505398,1184.244802,1304.986582,1695.273814,2166.051103,2431.70614,2736.182664,3228.294728,3834.898811,3512.410044,3495.844214,3728.04779,3503.24351,3760.376907,3844.337544,3267.217515,3443.310224,3712.733017,4318.911492,4337.131083,4208.456611,,
Andorra,AND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1320.272049,1447.213596,1453.872036,1345.162342,1305.953758,1261.313376,1235.866057,1244.300905,1225.180261,1220.612136,1652.625843,1596.385561,1722.952105,1688.22305,1670.812957,1810.632353,1917.686392,2044.071422,1985.663598,2124.285486,2278.439452,2233.726703,2217.757545,2351.16989,2703.259708,3122.073644,3650.484913,4219.861768,5070.120798,4541.166654,5127.906384,5225.346768,5660.16963,5731.746622,5759.499854,5108.260831,4980.008234,4920.930522,5223.738966,5246.297084,4722.985175,,
United Arab Emirates,ARE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29010.69206,27669.64973,27068.20995,28726.84963,32915.53593,35802.01739,38882.84162,38473.5956,37881.60809,27101.62385,30787.50202,36068.67955,38050.55689,39901.85285,41018.83129,37047.02635,36924.27267,39447.32859,42227.03932,41251.37666,35542.15206,,
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1196.587777,1303.138512,1296.971993,1968.487325,2642.104135,1888.546787,1780.266694,1937.439229,1938.757229,2216.468563,2395.600883,2386.343261,2465.887872,3014.919506,2260.009943,2483.629291,3172.070714,3103.707312,3492.731373,1924.016127,3691.320689,5036.337078,6073.416105,6183.767438,6572.022474,6364.489829,6679.292452,7056.624052,7098.681626,6517.447867,6410.963556,5964.88862,1975.754437,2655.217923,3152.310802,3764.726575,4847.646012,6069.712362,7544.224034,6815.123432,8616.897684,10692.00332,10831.52072,10851.07172,10231.59767,11707.87041,10797.54392,12493.77204,9813.558914,8262.878744,7211.955933,,
Armenia,ARM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.8493927,424.1297863,450.8811693,514.3863406,503.4140537,524.802817,589.4752237,664.1223631,800.1082772,1045.087905,1450.459694,1934.082567,2836.283688,3669.316994,2672.259613,2850.684991,3100.324921,3291.408343,3551.641014,3675.977522,3288.583984,3245.412455,3630.471703,3859.70294,4216.371446,3811.233531,,
American Samoa,ASM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2679.493439,2828.031874,3247.87159,3942.540154,5330.873635,5785.313829,6190.981039,6364.675956,6724.804998,7419.533853,8153.294113,9679.79557,10202.54582,9340.02574,10007.02969,9080.785842,9037.905423,9243.301074,11459.87984,14162.46062,14148.35704,14656.26147,14499.02777,14000.59745,14484.96489,16059.93271,17400.97066,18712.41361,17065.71329,16449.47013,17175.41422,15553.11552,16174.81018,18961.20521,24585.75962,26825.36609,28198.92508,31285.88935,37709.11847,33354.11061,40208.69708,48255.5496,53382.55281,53834.80701,48664.38619,44267.57913,39055.24183,42000.8897,43990.13708,42364.65081,40200.57918,,
Austria,AUT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1759.625085,2032.948552,2495.671448,3328.331231,3955.93331,4498.290234,4849.341785,5792.83317,6949.159283,8302.717206,9164.269859,7856.423696,7891.143082,8034.663039,7565.028477,7732.927777,11000.25348,13769.67658,14911.17242,14834.83486,18368.24663,18914.18356,21039.89623,20261.50669,21540.71605,25374.99772,25017.03473,22304.45121,22803.44137,22384.28615,20326.24414,20177.30334,21806.68575,26647.32777,30493.37156,31807.67298,33986.73104,39061.20569,43481.24866,39496.62481,38958.04693,42609.94369,40004.46819,41654.5422,42460.55014,35786.83008,37214.44155,38311.84529,41596.61338,40682.03813,38848.20149,,
Azerbaijan,AZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.7457777,435.5692393,391.5709534,462.9940645,574.71473,675.1138816,763.3688557,956.9155983,1374.471956,2072.845294,3169.077596,3331.148937,3870.32198,4682.271142,5190.102421,5591.728908,6039.289026,4460.663277,3018.599527,3198.105743,3372.911412,3606.324368,3489.805088,,
Burundi,BDI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,163.0939956,167.1470334,161.493249,177.039165,155.3604061,178.562792,176.4495624,157.977334,146.8310231,148.1022696,143.1432994,147.8860056,130.6150945,116.4014295,109.3865811,99.06127273,78.10395192,96.31578,83.48733132,88.18294358,96.91047639,86.28323902,72.21645174,47.5322763,65.16737816,83.65797798,100.6615785,89.58622025,102.0942541,111.6633595,137.5505316,143.6617618,163.3843271,169.1583396,180.8805287,207.6059768,172.6776343,167.6035656,170.1566317,160.9054635,168.8890343,,
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2400.100323,2678.585001,3333.239957,4282.173655,4995.985632,5843.266996,6355.609543,7320.977804,8927.266225,10214.5281,10837.06175,8882.793376,7759.729964,7344.165043,7082.082865,7366.500326,10267.85949,12871.02301,14014.1103,14140.25241,17600.22854,18001.92877,19922.49105,19163.53407,21106.42343,24569.23132,23747.52384,21438.4679,21841.51648,21633.0309,19774.62329,19518.90813,21121.47451,25782.06672,29742.8212,30753.8151,32320.38037,36943.57317,40271.51383,36699.16128,36269.0805,38183.81532,36994.18558,38719.17408,39498.79678,33821.21615,34477.79926,36240.05792,39066.43551,38282.85629,36508.56475,,
Benin,BEN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,96.27344912,116.4086666,137.6044052,148.7176037,173.6323458,174.5606053,173.6397297,213.6962852,275.2135999,315.9052451,284.9512563,256.3994751,216.9278101,197.3508933,198.1443876,244.7051541,278.6797043,281.5976665,244.3540986,310.9724344,305.995262,236.6907337,317.5531275,196.4351656,258.8585496,272.7995172,259.1564285,275.8870609,428.0175587,401.580375,416.3953935,472.4188455,590.2885324,666.212873,690.5334238,716.9984176,811.1184653,944.9281961,904.6123609,856.743257,943.4360779,964.6526865,1069.753773,1108.824299,927.1532384,935.0398606,966.664013,1053.587306,1031.220826,1086.790879,,
Burkina Faso,BFA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,263.0258226,234.672783,224.7152637,197.9458371,175.0874663,180.6405377,230.3498967,259.2971252,278.3923598,270.9443946,312.9369053,308.551852,321.9907747,298.8622549,170.6138817,210.61638,225.0033747,206.2864858,228.7877967,269.1878407,233.754575,243.0137554,265.2923958,336.3490931,373.429295,406.4897562,419.948671,474.6291736,566.8197073,538.936117,538.3932838,602.8918296,631.1646756,658.7495723,656.0828128,544.7849494,576.1470436,614.8206372,678.4211503,652.4717887,681.3137135,,
Bangladesh,BGD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,104.670545,158.5440016,238.5412159,120.8688712,110.3933247,149.624289,173.3644586,197.9287848,219.4454588,195.0918631,183.0270645,191.5023516,217.7307769,208.0896858,228.0458066,243.5910581,258.2192036,276.6732437,266.3368548,268.3682555,276.5383901,277.471457,305.6896235,365.9526253,374.7541868,381.2328055,384.3527725,393.2773952,389.0488476,390.9630208,422.8370727,451.8814842,474.7427969,485.6343392,537.5793707,622.4738526,694.2656877,772.9594814,845.8250461,872.4358809,964.3141032,1079.065889,1207.097846,1343.835406,1471.26443,1606.078875,1887.193249,1999.431069,,
Bulgaria,BGR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1887.875845,1897.239795,1842.915694,1583.207517,1681.775954,1635.031134,1929.977881,2664.237011,2091.347514,2030.462502,1831.100224,955.5490625,1029.531775,1079.869443,1001.341452,2062.473836,1321.51287,1231.087885,1600.734794,1439.840515,1373.518768,1546.332518,1857.540282,2371.214262,2944.506921,3322.128953,3733.943555,4613.383404,5973.431493,5759.731281,5619.963317,6408.254413,6242.322438,6421.409709,6642.990206,5819.933979,6238.107192,6971.018762,7755.416718,8171.340834,8440.099649,,
